23
127	131
14	122
131	134
118	119
81	129
118	121
124	129
120	121
121	133
132	133
119	121
123	127
120	122
37	124
117	127
116	123
125	133
118	128
130	133
118	131
121	124
119	130
120	131
120	124
122	124
116	128
121	128
81	118
115	118
116	119
37	122
81	121
126	130
122	132
123	131
117	134
116	133
117	126
121	129
81	128
116	124
128	134
37	118
122	133
121	122
117	120
119	125
119	134
127	128
126	134
115	128
118	133
14	120
115	133
14	118
117	119
127	132
116	127
119	126
116	132
118	127
123	124
119	127
120	127
115	116
81	122
125	134
122	123
133	134
121	132
120	134
124	128
37	132
125	127
115	122
120	129
125	129
124	126
122	131
124	133
115	131
121	125
116	120
119	133
116	134
128	133
115	127
118	120
81	124
126	129
116	118
120	125
118	134
120	130
14	117
124	127
119	129
117	122
81	127
116	125
126	132
118	124
129	134
121	130
14	119
117	131
37	123
128	132
121	126
115	120
37	116
81	119
124	131
129	130
117	129
121	134
115	132
122	134
126	133
